x RMSE, y RMSE, vx RMSE, vy RMSE, NIS, Sensor
0.287757, 0.0196602, 5.19994, 0, 0,0
0.215112, 0.0388934, 3.95371, 0.00127057, 73.7073,1
0.175921, 0.0570007, 3.36569, 1.41621, 0.591695,0
0.162927, 0.0550065, 3.07432, 1.29948, 2.06669,1
0.145797, 0.0537358, 2.88871, 1.16965, 0.404008,0
0.13402, 0.0526707, 2.65527, 1.07917, 6.18335,1
0.124124, 0.0510023, 2.47425, 1.00488, 0.455912,0
0.116861, 0.0483336, 2.31645, 0.940803, 5.14631,1
0.110513, 0.046943, 2.18576, 0.887964, 0.0321606,0
0.105059, 0.0458132, 2.0747, 0.842488, 0.07493,1
0.101273, 0.0447838, 1.97877, 0.803339, 1.06284,0
0.0971755, 0.0476347, 1.89528, 0.79819, 1.57912,1
0.0935844, 0.0688791, 1.82154, 0.860068, 2.49862,0
0.0908515, 0.0726741, 1.75702, 0.851072, 3.50211,1
0.0889541, 0.0769107, 1.69903, 0.841031, 0.216929,0
0.0871232, 0.077459, 1.64547, 0.821223, 1.39932,1
0.0847971, 0.0753247, 1.59645, 0.797214, 10.8757,0
0.0828324, 0.0732231, 1.55202, 0.774789, 1.13305,1
0.0806327, 0.0713617, 1.51073, 0.754358, 3.21643,0
0.0786107, 0.0697846, 1.4726, 0.73566, 1.85971,1
0.0774361, 0.0684497, 1.43751, 0.718574, 1.83963,0
0.075945, 0.0717245, 1.40447, 0.708672, 3.75905,1
0.0744582, 0.070514, 1.37364, 0.693686, 3.10176,0
0.0729771, 0.069217, 1.34484, 0.679448, 0.199958,1
0.0715118, 0.0686941, 1.31779, 0.666925, 0.249326,0
0.0701495, 0.0699603, 1.29318, 0.657088, 1.9124,1
0.069617, 0.0692463, 1.27043, 0.645715, 2.17753,0
0.0683866, 0.0691207, 1.24756, 0.635302, 5.3793,1
0.067224, 0.0716762, 1.2259, 0.627882, 0.678821,0
0.0661714, 0.0750419, 1.20549, 0.621818, 2.1702,1
0.0654219, 0.0796353, 1.18611, 0.617142, 0.2435,0
0.0644535, 0.0812121, 1.16779, 0.609643, 6.28519,1
0.063633, 0.0821832, 1.15021, 0.601971, 0.579412,0
0.0627338, 0.0833669, 1.13368, 0.594818, 6.76584,1
0.0618327, 0.0852851, 1.11775, 0.588566, 0.642234,0
0.0612168, 0.0862305, 1.10283, 0.581758, 4.23005,1
0.0612705, 0.0853923, 1.0887, 0.573954, 2.87575,0
0.0612153, 0.0843131, 1.07429, 0.566408, 4.75381,1
0.0606351, 0.0832261, 1.06043, 0.559111, 1.14142,0
0.059912, 0.0821921, 1.04773, 0.552132, 2.69273,1
0.0592288, 0.0813084, 1.0356, 0.545809, 1.02707,0
0.0585368, 0.0806648, 1.02322, 0.539792, 2.53634,1
0.0582933, 0.0805029, 1.01127, 0.53448, 2.1447,0
0.0578575, 0.080917, 0.999722, 0.530076, 0.614894,1
0.0572912, 0.0818142, 0.988561, 0.526263, 0.241849,0
0.056977, 0.0824621, 0.978038, 0.521877, 1.49319,1
0.0567801, 0.0850703, 0.967936, 0.519367, 0.63184,0
0.0570316, 0.0886842, 0.958892, 0.517423, 0.598246,1
0.0566802, 0.0905963, 0.949697, 0.514056, 3.27365,0
0.057053, 0.0919412, 0.94206, 0.50994, 2.51824,1
0.0569229, 0.0922391, 0.934072, 0.505284, 2.6479,0
0.0563783, 0.0919709, 0.925049, 0.500885, 11.1335,1
0.0558881, 0.0916051, 0.916295, 0.496481, 0.928769,0
0.0553875, 0.091324, 0.907777, 0.492288, 0.135608,1
0.0549266, 0.0906288, 0.899499, 0.487857, 0.742805,0
0.0548095, 0.0899827, 0.89203, 0.483483, 1.22637,1
0.0545313, 0.0900805, 0.884684, 0.479626, 2.26198,0
0.0544956, 0.0896973, 0.878051, 0.4755, 3.39793,1
0.0544638, 0.0889346, 0.871405, 0.471634, 1.07531,0
0.0544204, 0.0882506, 0.864326, 0.46783, 2.76083,1
0.0545056, 0.0880296, 0.85741, 0.464607, 0.587829,0
0.0546838, 0.087678, 0.850649, 0.461148, 1.0122,1
0.055271, 0.0872807, 0.844154, 0.457654, 0.18631,0
0.0557615, 0.0869073, 0.837549, 0.454069, 1.39815,1
0.0562182, 0.0871213, 0.831094, 0.450739, 0.456657,0
0.0571159, 0.087435, 0.8249, 0.447591, 0.69214,1
0.0576623, 0.0878017, 0.818803, 0.444462, 0.505605,0
0.057649, 0.0882027, 0.812999, 0.441214, 3.05038,1
0.0573767, 0.0899691, 0.807432, 0.438137, 0.979637,0
0.0570744, 0.0912372, 0.801914, 0.435026, 1.38468,1
0.0566815, 0.0926309, 0.796562, 0.431992, 0.144867,0
0.0562866, 0.0933585, 0.791354, 0.429009, 2.61086,1
0.0559418, 0.0931724, 0.786042, 0.42652, 1.13123,0
0.0555675, 0.0929055, 0.780958, 0.424437, 0.513555,1
0.0552335, 0.0927944, 0.775858, 0.422086, 1.08017,0
0.0549114, 0.0927997, 0.770772, 0.419507, 0.978424,1
0.0545644, 0.093736, 0.765858, 0.416778, 1.07852,0
0.0542534, 0.0947872, 0.761074, 0.414099, 0.292559,1
0.0539318, 0.0947155, 0.756288, 0.411817, 1.2175,0
0.0535943, 0.0947017, 0.751566, 0.40928, 0.780411,1
0.0538, 0.0941698, 0.747256, 0.407378, 3.61443,0
0.0536281, 0.0935938, 0.742715, 0.406941, 3.46978,1
0.0533074, 0.093328, 0.738227, 0.404981, 1.97722,0
